"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"45158",8.2,51.06991,-3.643436
2023-09-01,"45164",0.6,50.614674,-3.380154
2023-09-01,"45167",1.9,50.908664,-3.226683
2023-09-01,"45168",0.6,50.973456,-3.383642
2023-09-01,"45169",1.8,50.80015,-3.436698
2023-09-01,"45183",2,51.114443,-3.795033
2023-09-01,"45184",1.9,50.728619,-3.475599
2023-09-01,"45185",0.8,51.046267,-3.459994
2023-09-01,"45186",2.2,50.67998,-3.408962
2023-09-01,"45204",0.6,50.816541,-3.085152
2023-09-01,"45208",3.4,50.850579,-2.888483
2023-09-01,"45230",0.8,50.752768,-3.256625
2023-09-01,"45231",1,50.76725,-2.963477
2023-09-01,"45232",0.9,50.882121,-3.092361
2023-09-01,"45236",1.4,50.776987,-3.176428
2023-09-01,"45268",0.6,50.701123,-3.117886
2023-09-01,"46100",0.398,50.390977,-3.70144
2023-09-01,"46103",0,50.47913,-3.760983
2023-09-01,"46104",0,50.53756,-3.702476
2023-09-01,"46106",0.7,50.548234,-3.940001
2023-09-01,"46107",0.4,50.58221,-3.897607
2023-09-01,"46108",0.6,50.641897,-3.877381
2023-09-01,"46151",0.1,50.26339,-3.811942
2023-09-01,"46160",0.7,50.473478,-3.89184
2023-09-01,"46161",0,50.384444,-3.523968
2023-09-01,"46167",0.2,50.592206,-3.717163
2023-09-01,"46168",0.8,50.680022,-3.738768
2023-09-01,"46169",0.1,50.516559,-3.841369
2023-09-01,"463589",0,51.758734,-2.612081
2023-09-01,"47101",2.2,50.804076,-4.356504
2023-09-01,"47102",0.2,50.766684,-4.425535
2023-09-01,"47105",2.598,50.686858,-4.234529
2023-09-01,"47106",1.798,50.562235,-4.481386
2023-09-01,"47108",0.398,50.586706,-4.106872
2023-09-01,"47112",0.4,50.440912,-4.010253
2023-09-01,"47113",0.7,50.418385,-3.960029
2023-09-01,"47144",1.598,50.677206,-4.612016
2023-09-01,"47155",0.199,50.416367,-4.126049
2023-09-01,"47156",0.4,50.700026,-4.056719
2023-09-01,"47157",10.3,50.431628,-4.270363
2023-09-01,"47158",2.2,50.771514,-4.228634
2023-09-01,"47159",1.8,50.644847,-4.529589
2023-09-01,"47160",2.1,50.877791,-4.488167
2023-09-01,"47161",0.1,50.516447,-4.209541
2023-09-01,"47163",0.1,50.366737,-4.230702
2023-09-01,"47164",0.201,50.501188,-4.060758
2023-09-01,"47166",1.397,50.549928,-3.999359
2023-09-01,"47167",0.3,50.377366,-3.992093
2023-09-01,"47168",0.199,50.660116,-4.359193
2023-09-01,"47170",0.6,50.546683,-4.319646
2023-09-01,"475212_TG_354",0.2,52.205774,-2.572843
2023-09-01,"48100",0.4,50.127328,-5.568494
2023-09-01,"48102",1.6,50.223298,-5.305022
2023-09-01,"48103",0,50.1602,-5.114418
2023-09-01,"48105",0.5,50.303659,-5.098505
2023-09-01,"48106",1.6,50.390633,-4.752406
2023-09-01,"48148",0.6,50.171774,-5.437334
2023-09-01,"48155",3.4,50.593242,-4.743017
2023-09-01,"48157",0,50.286686,-4.810984
2023-09-01,"48159",2.2,50.222785,-5.161963
2023-09-01,"48169",10.8,50.191057,-5.514391
2023-09-01,"48170",0.4,50.131262,-5.251088
2023-09-01,"48171",0,50.035296,-5.208282
2023-09-01,"48180",0.599,50.382625,-4.896844
2023-09-01,"48181",2.2,50.339136,-4.836569
2023-09-01,"48182",1.399,50.249425,-5.040268
2023-09-01,"48192",2.7,50.238386,-5.248557
2023-09-01,"48199",0.6,50.356962,-4.730773
2023-09-01,"490001TP",3.6,51.903913,0.021245
2023-09-01,"49101",0.9,50.481782,-4.701312
2023-09-01,"49102",0.3,50.382424,-4.56061
2023-09-01,"49104",0.796,50.509966,-4.568918
2023-09-01,"49105",4.597,50.558792,-4.637937
2023-09-01,"49108",2.3,50.733448,-4.549952
2023-09-01,"49147",0.3,50.391624,-5.071876
2023-09-01,"49149",1,50.679797,-4.695684
2023-09-01,"49151",0.6,50.480775,-4.463019
2023-09-01,"49162",6.5,50.438007,-4.948114
2023-09-01,"49171",0.25,50.419841,-4.409173
